order_id,order_date,ship_date,ship_mode,customer_id,customer_name,customer_segment,country_region,city,state_province,postal_code,region,product_id,product_name,category,sub_category,sales,quantity,discount,profit,returned_count
US-2020-103800,2020-01-03,2020-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,16.448,2,0.2,5.5512,0.0
US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,3.54,2,0.8,-5.487,0.0
US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Avery 508,Office Supplies,Labels,11.784,3,0.2,4.2717,0.0
US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,272.736,3,0.2,-64.7748,0.0
US-2020-141817,2020-01-05,2020-01-12,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,19.536,3,0.2,4.884,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,2573.82,9,0.0,746.4078,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art,5.48,2,0.0,1.4796,0.0
US-2020-106054,2020-01-06,2020-01-07,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,12.78,3,0.0,5.2398,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,609.98,2,0.0,274.491,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,31.12,4,0.0,0.3112,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper,6.54,1,0.0,3.0084,0.0
US-2020-130813,2020-01-06,2020-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Xerox 225,Office Supplies,Paper,19.44,3,0.0,9.3312,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,755.96,4,0.0,204.1092,0.0
US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,GE 30524EE4,Technology,Phones,391.98,2,0.0,113.6742,0.0
US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,76.728,3,0.6,-53.7096,0.0
US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,10.43,7,0.8,-18.2525,0.0
US-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Newell 312,Office Supplies,Art,9.344,2,0.2,1.168,0.0
